nid,category,title,writer,dept_nm,regist_dt,taxonomy,telno,cpyrht,url
14958810,공통업무,"상품권 구매 및 사용내역(서울종합방재센터)",심상준,"서울종합방재센터 자원관리과",20180402181852,"공통업무>예산집행 관리>상품권 구매 및 사용내역>상품권 종류, 목적, 수량, 구매액, 지급대상자 등",02-726-2115,"CC BY-ND",https://opengov.seoul.go.kr/public/14958810
14972526,공통업무,"2017년 구로소방서 상품권 구매 현황 보고 ",서상민,"구로소방서 소방행정과",20180403153613,"공통업무>예산집행 관리>상품권 구매 및 사용내역>상품권 종류, 목적, 수량, 구매액, 지급대상자 등",02-2618-3102,"CC BY",https://opengov.seoul.go.kr/public/14972526
14983987,공통업무,"2018년 3월 북부도로사업소 상품권 구매 및 사용내역",박은화,"북부도로사업소 관리단속과",20180404094325,"공통업무>예산집행 관리>상품권 구매 및 사용내역>상품권 종류, 목적, 수량, 구매액, 지급대상자 등",02-944-5411,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/14983987
14994853,행정,"2018년 3월 유형별 서식민원처리실적(시본청)",배병만,시민봉사담당관,20180405200355,"행정ㆍ기타>민원행정서비스>민원처리실적>유형별 민원처리실적",2133-7908,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/14994853
15015568,환경,"2018년 에너지자립마을 조성 현황",이수진,에너지시민협력과,20180407154022,"환경>에너지 절감>에너지 절감사업 추진현황>에너지 자립마을 추진현황",213303588,"CC BY-ND",https://opengov.seoul.go.kr/public/15015568
15016031,안전,"2018 도로시설물 유지관리예산 편성 및 집행현황(도로시설과, 2018.3.30)",권미애,도로시설과,20180409174539,"안전>도로시설물 안전관리>교량,터널 등 시설안전관리유지 관련 예산 집행현황>예산집행 현황",02-2133-1656,"CC BY",https://opengov.seoul.go.kr/public/15016031
15027900,공통업무," 2018.3월 도시기반시설본부도시철도건축부업무추진비 집행내역",임숙경,도시철도건축부,20180410000000,"공통업무>업무추진비 사용내역>업무추진비 사용내역>시립대학교 총장, 처장의 업무추진비",772-7337,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/15027900
15056276,교통,"2016년 시내버스 서비스 만족도 조사결과 보고서 ",최현지,버스정책과,20180413105243,"교통ㆍ건설>대중교통>버스평가 및 지원현황, 차고지현황>버스 평가 및 시민만족도 조사결과",02-2133-2269,"CC BY-ND",https://opengov.seoul.go.kr/public/15056276
15056277,교통,"2017년 시내버스 서비스 만족도 조사결과 보고서 ",최현지,버스정책과,20180413105548,"교통ㆍ건설>대중교통>버스평가 및 지원현황, 차고지현황>버스 평가 및 시민만족도 조사결과",02-2133-2269,"CC BY-ND",https://opengov.seoul.go.kr/public/15056277
15095619,행정,"2017년(2016년실적) 투자기관 경영평가 결과",오현석,공기업담당관,20180419161047,"행정ㆍ기타>경영평가>투자기관 경영실적 평가결과>투자기관 경영실적 평가결과",2133-6774,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/15095619
15095635,주택도시계획,"2018년 4월 정비사업 통계 현황 ",이용수,재생협력과,20180419175204,"주택ㆍ도시계획>주거환경정비>도시정비사업 통계>정비사업 통계",2133-7197,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/15095635
15105055,환경,"2018년 여름철 청소대책",김동호,생활환경과,20180420175821,"환경>생활환경 관리>청소종합대책>계절별, 명절 등 청소종합대책",2133-3733,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/15105055
15126065,문화관광,"서울시 관광숙박업 등록(승인) 현황",정효진,관광정책과,20180424000000,"문화ㆍ관광>관광산업>서울시 관광숙박업 등록(승인) 현황>서울시 관광숙박업 등록(승인) 현황",02-2133-1983,"CC BY",https://opengov.seoul.go.kr/public/15126065
15135349,행정,"2018년 제1차 민간위탁 종합성과평가 결과",김유진,조직담당관,20180425094501,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁 종합성과평가 결과",2133-6753,"CC BY-ND",https://opengov.seoul.go.kr/public/15135349
15144742,공통업무,"2017년 11월 서울시의회 교육위원회 위원장 업무추진비 집행내역",하혜정,교육전문위원실,20180426212353,"공통업무>업무추진비 사용내역>업무추진비 사용내역>시립대학교 총장, 처장의 업무추진비",3705-1037,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/15144742
