nid,category,title,writer,dept_nm,regist_dt,taxonomy,telno,cpyrht,url
15390640,환경,"2017 도시구조물 벽면녹화사업",함희진,조경과,20180604104222,"환경>도시녹화>도시녹화 추진현황>도시구조물 벽면녹화",02-2133-2127,"CC BY",https://opengov.seoul.go.kr/public/15390640
15390642,환경,"2018년 상반기 환경소음도 측정결과",이종식,생활환경과,20180604000000,"환경>생활환경 관리>생활공해 측정결과>소음 측정결과",02-2133-3726,"CC BY",https://opengov.seoul.go.kr/public/15390642
15390647,안전,"지점별 항목별 수질현황(2016년 6월 - 12월)",김창수,물순환정책과,20180604112418,"안전>하천수질관리>한강 수질검사 결과>한강 수질검사 결과",02-2133-3768,"CC BY-ND",https://opengov.seoul.go.kr/public/15390647
15390648,안전,"지점별 항목별 수질현황(2017년 1월 - 12월)",김창수,물순환정책과,20180604112538,"안전>하천수질관리>한강 수질검사 결과>한강 수질검사 결과",02-2133-3768,"CC BY-ND",https://opengov.seoul.go.kr/public/15390648
15390652,행정,"2018년 5월 유형별 서식민원처리실적(시본청)",배병만,시민봉사담당관,20180604115647,"행정ㆍ기타>민원행정서비스>민원처리실적>유형별 민원처리실적",2133-7908,"CC BY-NC-SA",https://opengov.seoul.go.kr/public/15390652
15390666,안전,"2018년 보도상영업시설물 관련 통계",장수련,보도환경개선과,20180604140846,"안전>도로관리>보도상영업시설물 관련 통계>보도상영업시설물 관련 통계",02-2133-8133,"CC BY-ND",https://opengov.seoul.go.kr/public/15390666
15390667,환경,"아리수 사랑 체험투어",정수형,홍보과,20180604142016,"환경>상수도>아리수 사랑 체험투어>아리수 사랑 체험투어",3146-1219,"CC BY",https://opengov.seoul.go.kr/public/15390667
15390668,환경,"찾아가는 수도교실",정수형,홍보과,20180604142256,"환경>상수도>찾아가는 수도교실>찾아가는 수도교실",3146-1219,"CC BY",https://opengov.seoul.go.kr/public/15390668
15390684,환경,"서울시 생태경관보전지역 지정 및 관리 현황",최봉선,자연생태과,20180604163254,"환경>생태보호>생태 및 경관보전지역 지정 및 관리현황>생태 및 경관보전지역 지정 및 관리현황",2133-2148,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/15390684
15390696,안전,"2015년도 한강수계관리기금 결산보고",한차순,물순환정책과,20180604175110,"안전>하천수질관리>한강수계관리기금 운용현황>한강수계관리기금 운용현황",02-2133-3766,"CC BY",https://opengov.seoul.go.kr/public/15390696
15390697,안전,"2016년도 한강수계관리기금 결산보고",한차순,물순환정책과,20180604175336,"안전>하천수질관리>한강수계관리기금 운용현황>한강수계관리기금 운용현황",02-2133-3766,"CC BY",https://opengov.seoul.go.kr/public/15390697
15390698,안전,"2017년도 한강수계관리기금 결산보고",한차순,물순환정책과,20180604000000,"안전>하천수질관리>한강수계관리기금 운용현황>한강수계관리기금 운용현황",02-2133-3766,"CC BY",https://opengov.seoul.go.kr/public/15390698
15390703,행정,"2018 정보소외계층 정보화교육 운영계획 및 실적",오정환,데이터센터,20180604203257,"행정ㆍ기타>정보교육지원>정보취약계층 교육>정보취약계층 교육계획 및 실적",3470-1551,"CC BY-ND",https://opengov.seoul.go.kr/public/15390703
15390709,환경,"2018년도 서울특별시 베란다형 태양광 미니발전소 보급사업 공고",이기상,녹색에너지과,20180604212649,"환경>신재생에너지>신재생에너지 보급 등 추진현황>민간주택 재생에너지 보급 지원현황",02-2133-3567,"CC BY",https://opengov.seoul.go.kr/public/15390709
15390710,환경,"2018년도 서울특별시 주택형, 건물형 태양광 미니발전소 보급사업 공고",이기상,녹색에너지과,20180604213310,"환경>신재생에너지>신재생에너지 보급 등 추진현황>민간주택 재생에너지 보급 지원현황",02-2133-3567,"CC BY",https://opengov.seoul.go.kr/public/15390710
15390711,환경,"2017년도 서울특별시 태양광 미니발전소 보급사업 공고",이기상,녹색에너지과,20180604214004,"환경>신재생에너지>신재생에너지 보급 등 추진현황>민간주택 재생에너지 보급 지원현황",02-2133-3567,"CC BY",https://opengov.seoul.go.kr/public/15390711
