nid,category,title,writer,dept_nm,regist_dt,taxonomy,telno,cpyrht,url
9808065,공통업무,"2016년 9월 서울종합방재센터 전산통신과 업무추진비 사용 내역",황동호,전산통신과,20161002130510,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-726-2243,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/9808065
9808066,공통업무,"보건환경연구원강남농수산물검사소9월 업무추진비 내역",김경자,강남농수산물검사소,20161002133945,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-3435-0662,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/9808066
9808093,공통업무,"도시교통본부 자전거정책과 9월 업무추진비 사용내역 공개",주우민,자전거정책과,20161002161612,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",2133-2753,"CC BY-ND",https://opengov.seoul.go.kr/public/9808093
9808094,공통업무,"민방위경보통제소 9월 업무추진비 공개",이훈영,민방위경보통제소,20161003075620,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-726-2094,"CC BY",https://opengov.seoul.go.kr/public/9808094
9808095,공통업무,"일자리정책담당관 업무추진비 사용내역('16년9월)",이길수,일자리정책담당관,20161003095634,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-2133-5452,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/9808095
9808096,공통업무,"2016년 9월 종로소방서 연건119안전센터 업무추진비",허창,연건119안전센터,20161003113515,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",747-8119,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/9808096
9808388,공통업무,"2016년 9월 기획조정실 법률지원담당관 업무추진비 집행내역",오정은,법률지원담당관,20161003120431,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",2133-6707,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/9808388
9808389,공통업무,"2016년 9월 강남수도사업소 시설관리과 부서운영업무추진비 집행 내역",이옥자,시설관리과,20161003130527,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",3146-4894,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/9808389
9808390,공통업무,"이태원119안전센터 업무추진비 내역",이경준,이태원119안전센터,20161003134346,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-793-1141,"CC BY-NC-SA",https://opengov.seoul.go.kr/public/9808390
9808391,공통업무,"2016년 광진소방서 성수119안전센터 업무추진비 집행내역",고정석,"광진소방서 성수119안전센터",20161003142939,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-468-0119,"CC BY-NC",https://opengov.seoul.go.kr/public/9808391
9808395,공통업무,"2016년 9월 소방재난본부 소방행정과 업무추진비 집행내역 ",김태형,소방행정과,20161003190540,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-3706-1315,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/9808395
9808396,공통업무,"2016년 9월 한성백제박물관 업무추진비 집행내역 공개",이종해,한성백제박물관,20161003200138,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02)2152-5814,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/9808396
9808397,공통업무,"2016년9월 기획조정실 법무담당관 업무추진비 집행내역",서지영,법무담당관,20161003000000,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-2133-6686,"CC BY",https://opengov.seoul.go.kr/public/9808397
9808398,공통업무,"청탁금지법 공무수행사인 공개(일자리정책담당관)",김지현,일자리정책과,20161003222735,"공통업무>시정제도 등 기타>집행기관이 공익을 위하여 공개함이 타당하다고 인정하는 업무>공개 필요성이 제기된 업무",0221335452,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/9808398
9808399,공통업무,"청탁금지법 공무수행사인 공개",유문선,노동정책과,20161003000000,"공통업무>시정제도 등 기타>집행기관이 공익을 위하여 공개함이 타당하다고 인정하는 업무>공개 필요성이 제기된 업무",2133-5414,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/9808399
9808400,공통업무,"2016년 9월 도시교통본부 주차계획과 업무추진비 집행내역",박정수,주차계획과,20161003000000,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02)2133-2354,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/9808400
9808401,공통업무,"2016년 9월 도시재생본부 주거환경개선과 업무추진비 집행내역",정선용,주거환경개선과,20161004080018,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",2133-7246,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/9808401
9808402,공통업무,"2016년 9월 중부공원녹지사업소 공원운영과 업무추진비 집행내역 공개",정도원,공원운영과,20161004084105,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",3783-5912,"CC BY",https://opengov.seoul.go.kr/public/9808402
9808403,공통업무,"2016년 9월 소방재난본부 현장대응단 업무추진비 집행내역",황의석,현장대응단,20161004090335,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",70-1713,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/9808403
9808404,공통업무,"2016년 9월 서울물연구원 총무과 업무추진비",성주훈,총무과,20161004090702,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-3146-1718,"CC BY-ND",https://opengov.seoul.go.kr/public/9808404
9808405,공통업무,"2016.9월 업무추진비 집행내역(자원순환과)",박아영,자원순환과,20161004000000,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-2133-3674,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/9808405
9808406,공통업무,"상수도사업본부 급수부 업무추진비 사용내역 공개(2016.9월)",문정혜,계획설계과,20161004091809,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",3146-1411,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/9808406
9808407,공통업무,"2016년 9월 북부수도사업소 급수운영과 업무추진비 집행내역",김효영,급수운영과,20161004092124,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",3146-3344,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/9808407
9808409,공통업무,"2016년 9월 수도자재관리센터 업무추진비공개내역(기관, 부서)",우미숙,수도자재관리센터,20161004092645,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-3146-1913,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/9808409
9808410,공통업무,"2016년 8월 광암아리수정수센터 정수시설과 업무추진비 집행내역",엄주원,정수시설과,20161004093228,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",0231465374,"CC BY",https://opengov.seoul.go.kr/public/9808410
9808411,공통업무,"업무추진비내역 2016월 9월 인재개발원 인재양성과",황병훈,인재양성과,20161004093328,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-3488-2135,"CC BY",https://opengov.seoul.go.kr/public/9808411
9808412,공통업무,"9월 어린이병원 원무과 업무추진비 현황",강선미,원무과,20161004093624,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-570-8038,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/9808412
9808413,공통업무,"2016년 9월 일자리노동정책관 노동정책담당관 업무추진비",유문선,노동정책과,20161004094345,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",2133-5414,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/9808413
9808414,공통업무,"2016.9월 시설안전부 업무추진비 집행내역",조재형,누수방지과,20161004100124,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",3146-1511,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/9808414
9808415,공통업무,"9월 정보통신보안담당관 업무추진비 사용내역 공개",윤혜숙,정보통신보안담당관,20161004102509,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",2133-2866,"CC BY",https://opengov.seoul.go.kr/public/9808415
9808416,공통업무,"9월중 독산119안전센터 기관운영업무추진비 내역",이정환,독산119안전센터,20161004104529,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",869-1119,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/9808416
9808417,공통업무,"청탁금지법 공무수행사인 공개(평가담당관)",이지연,평가담당관,20161004105149,"공통업무>시정제도 등 기타>집행기관이 공익을 위하여 공개함이 타당하다고 인정하는 업무>공개 필요성이 제기된 업무",02-2133-6932,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/9808417
9808418,공통업무,"2016년 9월 서부수도사업소 시설관리과 업무추진비 사용내역",김대용,시설관리과,20161004110812,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",3146-3692,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/9808418
