nid,category,title,writer,dept_nm,regist_dt,taxonomy,telno,cpyrht,url
8646110,공통업무,"2016년 5월 어린이병원 약제과 업무추진비 집행내역",문선희,약제과,20160602082618,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-570-8053,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/8646110
8646111,공통업무,"2016년 5월 송파소방서 재난관리과 업무추진비 집행내역",정용석,재난관리과,20160602083425,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-431-4101413,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/8646111
8646114,환경,"4월 대기질 분석결과",최용석,대기관리과,20160602090120,"환경>대기질 관리>대기질 개선 계획, 평가결과 등>대기질 검사결과",02-2133-3669,"CC BY",http://opengov.seoul.go.kr/public/8646114
8646115,공통업무,"2016년 5월 영등포아리수정수센터 행정관리과 업무추진비 사용내역",남상규,행정관리과,20160602093203,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",3146-5612,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/8646115
8646116,공통업무,"2016년 5월 서울종합방재센터 전산통신과 업무추진비 사용 내역",황동호,전산통신과,20160602100208,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-726-2243,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/8646116
8646117,공통업무,"2016년5월 기획조정실 법무담당관 업무추진비 집행내역",서지영,법무담당관,20160602000000,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-2133-6686,"CC BY",http://opengov.seoul.go.kr/public/8646117
8646118,공통업무,"영등포소방서 업무추진비 집행내역 공개(2016년 5월)",차건희,소방행정과,20160602101651,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-2678-4704,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/8646118
8646119,공통업무,"영등포소방서 소방행정과 부서운영비 집행내역 공개(2016년 5월)",차건희,소방행정과,20160602101854,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-2678-4704,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/8646119
8646120,공통업무,"2016년 중랑소방서 중화119안전센터 업무추진비 공개",김진호,중화119안전센터,20160602000000,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-496-1191,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/8646120
8646121,공통업무,"안전총괄본부 안전총괄관 보도환경개선과 5월 업무추진비 집행내역",장수근,보도환경개선과,20160602102402,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",2133-8108,"CC BY",http://opengov.seoul.go.kr/public/8646121
8646122,공통업무,"중랑소방서 현장대응단 부서,기관업무추진비 공개",김희로,현장대응단,20160602103204,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-3423-1382,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/8646122
8646123,공통업무,"2016년 5월 영등포소방서 예방과 부서운영업무추진비 사용내역",설우철,예방과,20160602000000,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-2678-1705,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/8646123
8646124,공통업무,"업무추진비 내역(녹색에너지과)",김문희,녹색에너지과,20160602104709,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",2133-3555,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/8646124
8646125,공통업무,"2016년 5월 남부수도사업소 급수운영과 업무추진비 집행내역",박현주,급수운영과,20160602105502,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",3146-4555,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/8646125
8646227,공통업무,"2016년 5월 소방재난본부 소방행정과 업무추진비 집행내역",김태형,소방행정과,20160602113218,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-3706-1315,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/8646227
8655569,공통업무,"보건환경연구원강남농수산물검사소5월 업무추진비 내역",김경자,강남농수산물검사소,20160602113830,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-3435-0662,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/8655569
8659558,공통업무,"2016년 5월 도시안전건설전문위원실 업무추진비 집행내역 ",김혜영,도시안전건설전문위원실,20160602115719,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-3705-1120,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/8659558
8659559,공통업무,"2016년 5월 강남수도사업소 행정지원과 업무추진비 집행내역",허홍석,행정지원과,20160602000000,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",3146-4712,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/8659559
8659560,공통업무,"2016년 5월 강북소방서 현장대응단 업무추진비 공개",채종호,현장대응단,20160602123932,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02)6946-0165,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/8659560
8659561,공통업무,"2016년5월 중부소방서 회현119안전센터 업무추진비 집행내역",박후용,회현119안전센터,20160602125307,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-2252-3311,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/8659561
8659562,공통업무,"2016년 5월 동부공원녹지사업소 서울숲공원관리사무소 업무추진비 집행내역",차용호,서울숲공원관리사무소,20160602130900,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-460-2911,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/8659562
8659563,공통업무,"평생교육정책관 청소년담당관 업무추진비 사용내역 공개(2016. 5월)",남지현,청소년담당관,20160602131450,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",2133-4115,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/8659563
