nid,category,title,writer,dept_nm,regist_dt,taxonomy,telno,cpyrht,url
11633971,행정,"2017년 3월 유형별 서식민원처리 실적(시본청)",배병만,시민봉사담당관,20170403155227,"행정기타>민원행정서비스>민원처리실적>유형별 민원처리실적",2133-7907,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/11633971
11633981,환경,"서울시 2016년 녹색제품 구매실적 및 2017년 녹색제품 구매 계획",유미옥,환경정책과,20170403163927,"환경>녹색제품 이용확대>녹색제품 이용확대>녹색제품 구매실적 및 구매계획",2133-3538,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/11633981
11633992,공통업무,"2017년 3월분 지역발전본부 서남권사업과  업무추진비 집행 내역",설은주,서남권사업과,20170403175832,"공통업무>업무추진비 사용내역>업무추진비 사용내역>투자출연기관장 및 임원의 업무추진비",21331515,"CC BY-NC",https://opengov.seoul.go.kr/public/11633992
11634007,공통업무,"2017년 1~3월  1억이상 공사계약",김석기,재무과,20170404102940,"공통업무>계약현황>공사, 물품구매, 용역 등 주요 계약현황>1억원 이상의 공사 계약서",02-2133-3242,"CC BY-ND",https://opengov.seoul.go.kr/public/11634007
11634008,공통업무,"2017년 1~3월 1억이상 물품계약",김석기,재무과,20170404103355,"공통업무>계약현황>공사, 물품구매, 용역 등 주요 계약현황>1억원 이상의 물품구매 계약서",02-2133-3242,"CC BY-ND",https://opengov.seoul.go.kr/public/11634008
11634009,공통업무,"2017년 1~3월 1억이상 용역계약",김석기,재무과,20170404103526,"공통업무>계약현황>공사, 물품구매, 용역 등 주요 계약현황>1억원 이상의 용역계약서",02-2133-3242,"CC BY-NC",https://opengov.seoul.go.kr/public/11634009
11634010,공통업무,"2017년 1~3월 수의계약현황(공사,용역,물품)",김석기,재무과,20170404103705,"공통업무>계약현황>공사, 물품구매, 용역 등 주요 계약현황>1억원 이상의 공사 계약서",02-2133-3242,"CC BY-ND",https://opengov.seoul.go.kr/public/11634010
11650176,공통업무,"상품권 구매 및 사용내역",김경화,주거재생과,20170404150501,"공통업무>예산집행 관리>상품권 구매 및 사용내역>상품권 종류, 목적, 수량, 구매액, 지급대상자 등",2133-7163,"CC BY-ND",https://opengov.seoul.go.kr/public/11650176
11650192,공통업무,"2017.3월 총장,행정처장 업무추진비 공표",민영애,총무과,20170404184931,"공통업무>업무추진비 사용내역>업무추진비 사용내역>시립대학교 총장, 처장의 업무추진비",02-6490-6414,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/11650192
11683303,경제,"서울시 협동조합 신고현황('17.3월 기준)",성재연,사회적경제담당관,20170406000000,"경제>사회적경제>협동조합 현황>서울시 협동조합 신고 현황",2133-5478,"CC BY",https://opengov.seoul.go.kr/public/11683303
11696454,공통업무,"2017년 3월 도시기반시설본부도시철도건축부 업무추진비 집행 내역",임숙경,도시철도건축부,20170407134400,"공통업무>업무추진비 사용내역>업무추진비 사용내역>시립대학교 총장, 처장의 업무추진비",772-7337,"CC BY-NC-SA",https://opengov.seoul.go.kr/public/11696454
11696457,행정,"2017년 제1차 민간위탁 종합성과평가 결과",홍민아,조직담당관,20170407135954,"행정기타>민간위탁>민간위탁 현황>민간위탁 종합성과평가 결과",2133-6753,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/11696457
11711697,안전,"2017년 3월 소방활동 현황(화재) ",이지현,"서울소방재난본부 현장대응단 화재조사팀",20170410134612,"안전>재난 현황>화재, 구조, 구급 등 재난발생현황>서울시 월중 화재발생 현황",02-3706-1723,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/11711697
11715848,행정,"2017.4월 퇴직공직자 취업심사 결과 공개",임철현,조사담당관,20170411105424,"행정기타>퇴직공직자 취업심사>퇴직공직자 취업심사>퇴직공직자 취업심사 결과",02-2133-3164,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/11715848
11726942,공통업무,"2017년 4월 상품권 구매 내역(뚝도아리수정수센터)",최희정,"뚝도아리수정수센터 행정관리과",20170411000000,"공통업무>예산집행 관리>상품권 구매 및 사용내역>상품권 종류, 목적, 수량, 구매액, 지급대상자 등",02-3146-5561,"CC BY-NC",https://opengov.seoul.go.kr/public/11726942
11754560,안전,"2016년도 119특수구조단 수난구조대 구조활동 통계",임중수,"서울119특수구조단 반포수난구조대",20170413000000,"안전>재난 현황>한강 수난사고 연간 통계>119특수구조단 수난구조대 연간활동사항",02-3706-1922,"CC BY",https://opengov.seoul.go.kr/public/11754560
11766838,문화관광,"중소기업자와의 우선조달계약에 대한 예외 공표",이정화,"서울도서관 행정지원과",20170414000000,"문화관광>문화진흥>문화시설 건립현황>문화시설 건립현황",02-2133-0209,"CC BY-ND",https://opengov.seoul.go.kr/public/11766838
11769422,공통업무,"2017년 4월 온누리상품권 구매 내역(서울대공원 운영과)",한리라,운영과,20170414173809,"공통업무>예산집행 관리>상품권 구매 및 사용내역>상품권 종류, 목적, 수량, 구매액, 지급대상자 등",500-7312,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/11769422
11783362,공통업무,"서울대공원 상반기 직원 생일축하 상품권",송미진,"서울대공원 조경과",20170417173522,"공통업무>예산집행 관리>상품권 구매 및 사용내역>상품권 종류, 목적, 수량, 구매액, 지급대상자 등",02-500-7512,"CC BY",https://opengov.seoul.go.kr/public/11783362
11797948,행정,"2017년도 BSC 현황",홍종열,평가담당관,20170419000000,"행정기타>시정운영관리>BSC기반 성과관리>BSC 관리현황",02-2133-6895,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/11797948
11811215,주택도시계획,"2017년 4월 정비사업 통계 현황",이용수,재생협력과,20170419131505,"주택도시계획>주거환경정비>도시정비사업 통계>정비사업 통계",2133-7197,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/11811215
11825393,안전,"2016년 시민안전체험관  체험인원 ",박기현,서울시민안전체험관,20170420155242,"안전>도로관리>도로관리 추진현황>도로제설작업, 설해대책",02-2049-4023,"CC BY-ND",https://opengov.seoul.go.kr/public/11825393
11825395,환경,"2017년 사면안전관리 종합계획",오동열,산지방재과,20170420161021,"환경>재해관리>사면안전관리 종합계획>사면안전관리 종합계획",2133-2173,"CC BY-ND",https://opengov.seoul.go.kr/public/11825395
11825396,안전,"소방용수시실 보유현황(2017.3.31.)",김민수,재난대응과,20170420161417,"안전>화재 예방>소방용수시설 보유현황>소방용수시설 보유현황",02-3706-1413,"CC BY",https://opengov.seoul.go.kr/public/11825396
11825397,환경,"2017년 산지사면 안전관리 재정투자 현황",오동열,산지방재과,20170420161606,"환경>재해관리>산사태 등 재해관리현황>산지사면 안전관리 재정투자 현황",2133-2173,"CC BY-ND",https://opengov.seoul.go.kr/public/11825397
11825398,교통,"2016년 서울시 차량 통행속도 보고서",구지선,교통정보과,20170420172814,"교통건설>교통량 관리>교통속도 및 교통량>교통속도 및 교통량",2133-4957,"CC BY-NC",https://opengov.seoul.go.kr/public/11825398
11825399,교통,"2016년 서울 교통량 보고서",구지선,교통정보과,20170420173000,"교통건설>교통량 관리>교통속도 및 교통량>교통속도 및 교통량",2133-4957,"CC BY-NC",https://opengov.seoul.go.kr/public/11825399
11825401,행정,"2017 정보소외계층 정보화교육 운영계획 및 실적",이나리,"데이터센터 ",20170421094958,"행정기타>정보교육지원>정보취약계층 교육>정보취약계층 교육계획 및 실적",3470-1551,"CC BY-ND",https://opengov.seoul.go.kr/public/11825401
11837730,건강,"2017년 서울시 치매관리사업 안내서",이희선,건강증진과,20170421102859,"건강식품>감염질환>감염병 발생현황>주요 감염병 발생현황"," 02-2133-7583","CC BY-ND",https://opengov.seoul.go.kr/public/11837730
11837731,환경,"2017년 재활용사업자 육성자금 융자심사위원회 결과보고",이옥희,자원순환과,20170421000000,"환경>재활용사업자 지원>재활용사업자 육성자금 지원 현황>재활용사업자 육성자금 지원 현황",2133-3697,"CC BY-ND",https://opengov.seoul.go.kr/public/11837731
11837732,문화관광,"'17년도 상반기 스포츠강좌이용권(스포츠바우처) 사업 추진현황",김미리,체육정책과,20170421125022,"문화관광>체육진흥>체육복지 추진현황>스포츠 바우처사업 추진현황",2133-2698,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/11837732
11837733,환경,"서울시 연료전지 보급 현황 및 설비 개요(2016.12.31. 기준)",이종원,녹색에너지과,20170421140223,"환경>신재생에너지>신재생에너지 보급 등 추진현황>발전용, 건물용 연료전지 보급 및 지원현황",2133-3957,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/11837733
11838824,복지,"어르신복지시설현황(2017년 3월말 기준)",안학이,어르신복지과,20170421144410,"복지>어르신복지과>어르신복지시설현황>어르신복지시설 현황",2133-7406,"CC BY",https://opengov.seoul.go.kr/public/11838824
11838825,복지,"자치구별 어르신 인구 현황(2016년12월말 기준)",안학이,어르신복지과,20170421144533,"복지>어르신복지과>어르신 인구 통계>자치구별 어르신 인구",2133-7406,"CC BY",https://opengov.seoul.go.kr/public/11838825
11838826,환경,"서울형 녹색중소기업 지원 실적",이태기,녹색에너지과,20170421145536,"환경>녹색산업>서울형 녹색산업 지원정책>서울형 녹색중소기업지원실적",02-2133-3571,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/11838826
11838827,환경,"서울형 녹색기술 R&D 지원 사업",이태기,녹색에너지과,20170421150433,"환경>녹색산업>서울형 녹색기술 R&D 지원사업>서울형 녹색기술 R&D 지원사업",02-2133-3571,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/11838827
11838828,환경,"서울형 녹색기술 R&D 지원사업",이태기,녹색에너지과,20170421151135,"환경>녹색산업>서울형 녹색기술 R&D 지원사업>서울형 녹색기술 R&D 지원사업",02-2133-3571,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/11838828
11851544,행정,"2016년 1:1000 수치지형도 갱신 현황을 붙임과 같이 공표 합니다. ",오상준,공간정보담당관,20170424140521,"행정기타>공간정보>공간정보현황>수치지도 현황",02-2133-2849,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/11851544
11867315,문화관광,"서울시 공공체육시설 현황",신웅식,체육정책과,20170425141808,"문화관광>체육진흥>서울시 공공체육시설 현황>서울시 공공체육시설 현황",2133-2695,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/11867315
11867316,안전,"2017 도로시설물 유지관리예산 편성 및 집행현황(도로시설과 2017.4.25)",권미애,도로시설과,20170425174853,"안전>도로시설물 안전관리>교량,터널 등 시설안전관리유지 관련 예산 집행현황>예산집행 현황",02-2133-1656,"CC BY",https://opengov.seoul.go.kr/public/11867316
11867317,여성가족,"2017년 지역아동센터 운영 지원계획",양미아,가족담당관,20170425180449,"여성가족>청소년 정책>청소년 정책 평가 및 지도점검 결과>지역아동센터 운영지원(보조금) 현황",02-2133-5188,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/11867317
11882302,주택도시계획,"부동산 중개사무소 지도단속 결과 현황",김문수,토지관리과,20170426142720,"주택도시계획>토지관리>중개업소 지도단속현황>위반업소 처분현황",2133-4672,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/11882302
11895400,환경,"도로먼지 재비산 방지를 위한  2017년도 도로분진청소 종합계획",손동기,생활환경과,20170427141756,"환경>생활환경 관리>청소종합대책>서울시 도로분진청소 종합계획",02-2133-3708,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/11895400
11895401,환경,"2017년 가로·골목길 청결도 향상대책",김동호,생활환경과,20170427141859,"환경>생활환경 관리>청소종합대책>계절별, 명절 등 청소종합대책",2133-3733,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/11895401
11895405,문화관광,"동대문패션비즈센터 건립 및 운영현황(문화융합경제과)",이성태,문화융합경제과,20170427172521,"문화관광>의류산업 지원>패션, 봉제산업 지원현황>동대문패션비즈센터 건립 및 운영현황",2133-2588,"CC BY",https://opengov.seoul.go.kr/public/11895405
11895406,문화관광,"서울봉제산업 육성현황(문화융합경제과)",이성태,문화융합경제과,20170427181119,"문화관광>의류산업 지원>패션, 봉제산업 지원현황>서울봉제산업 육성현황",2133-2588,"CC BY",https://opengov.seoul.go.kr/public/11895406
11908931,안전,"2017년 5월 서울시 재난 및 안전사고 분석·전망",주용섭,소방재난본부,20170428090847,"안전>재난안전>재난안전사고 분석 및 전망>서울시 월중 재난안전사고 분석 및 전망",02-3706-1731,"CC BY",https://opengov.seoul.go.kr/public/11908931
11908935,주택도시계획,서울주택통계,김태환,주택정책과,20170428093303,주택도시계획>주택정책>주택통계>주택통계,2133-7708,"CC BY-SA",https://opengov.seoul.go.kr/public/11908935
11908949,안전,"2017년 수방예산 편성현황",김상희,하천관리과,20170428102528,"안전>재난대책>수방대비 안전관리분야 예산편성현황>예산편성 현황",2133-3868,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/11908949
11908950,안전,"2017 수방사업 예산집행현황(1/4분기)",김상희,하천관리과,20170428102750,"안전>재난대책>수방대비 안전관리분야 예산집행현황>예산집행 현황",2133-3868,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/11908950
11908962,문화관광,"2016년 서울특별시 문화상 수상자 현황",조민지,문화정책과,20170428111003,"문화관광>문화진흥>서울문화상 수상자 현황>서울문화상",2133-2518,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/11908962
11910180,주택도시계획,"재난 안전관리분야 예산집행현황(2017년 1분기)",강정환,안전총괄과,20170428142544,"주택도시계획>도시안전>재난 안전관리분야 예산 집행현황>예산집행 현황",02-2133-8035,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/11910180
11910192,행정,"정보공개청구에 따른 공개목록('17.1월~3월)",권주영,정보공개정책과,20170428182000,"행정기타>일반행정>정보공개 청구 현황>정보공개 청구에 따른 공개한 목록",02-2133-5697,"CC BY",https://opengov.seoul.go.kr/public/11910192
11910193,행정,"정보공개청구에 따른 비공개목록('17.1월~3월)",권주영,정보공개정책과,20170428182151,"행정기타>일반행정>정보공개 청구 현황>정보공개 청구에 따른 비공개한 목록",02-2133-5697,"CC BY",https://opengov.seoul.go.kr/public/11910193
