nid,category,title,writer,dept_nm,regist_dt,taxonomy,telno,cpyrht,url
11323225,행정,"2017년 2월 유형별 서식민원처리 실적(시본청)",배병만,시민봉사담당관,20170302105731,"행정기타>민원행정서비스>민원처리실적>유형별 민원처리실적",2133-7907,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/11323225
11323720,공통업무,"2017.2월 총장,처장 업무추진비 공개내역",민영애,총무과,20170302164951,"공통업무>업무추진비 사용내역>업무추진비 사용내역>시립대학교 총장, 처장의 업무추진비",02-6490-6414,"CC BY-ND",https://opengov.seoul.go.kr/public/11323720
11323734,공통업무,"2017년 02월 어린이병원 진료부 업무추진비 집행 내역",한병선,진료부,20170302205857,"공통업무>업무추진비 사용내역>업무추진비 사용내역>시립대학교 총장, 처장의 업무추진비",02-570-8322,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/11323734
11323757,건강,"2017년 농수산물 안전성 관리 계획",홍민정,식품안전과,20170303113445,"건강식품>식생활 안전>농수산물 식품안전 종합대책>농수산물 안전관리 종합계획",2133-4736,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/11323757
11340613,공통업무,"2016년도 감사위원회 조사담당관 상품권 구매 및 사용내역 공개",백의성,조사담당관,20170303154512,"공통업무>예산집행 관리>상품권 구매 및 사용내역>상품권 종류, 목적, 수량, 구매액, 지급대상자 등",2133-3087,"CC BY",https://opengov.seoul.go.kr/public/11340613
11340623,공통업무,"직원생일 축하상품권 구매내역",이경연,도시활성화과,20170303181652,"공통업무>예산집행 관리>상품권 구매 및 사용내역>상품권 종류, 목적, 수량, 구매액, 지급대상자 등",2133-4634,"CC BY",https://opengov.seoul.go.kr/public/11340623
11359265,공통업무,"대기관리과 상품권 구매 및 사용내역",김정수-25,대기관리과,20170306135759,"공통업무>예산집행 관리>상품권 구매 및 사용내역>상품권 종류, 목적, 수량, 구매액, 지급대상자 등",2133-3635,"CC BY",https://opengov.seoul.go.kr/public/11359265
11359270,공통업무,"2016년도 상품권구매내역",최윤정,재생협력과,20170306145857,"공통업무>업무계획>주요 업무계획>서울시 주요 업무계획",02-2133-7195,"CC BY-ND",https://opengov.seoul.go.kr/public/11359270
11359275,공통업무,"2017년 2월 지역발전본부 서남권사업과 업무추진비 집행내역",설은주,서남권사업과,20170306155129,"공통업무>업무추진비 사용내역>업무추진비 사용내역>투자출연기관장 및 임원의 업무추진비",21331515,"CC BY",https://opengov.seoul.go.kr/public/11359275
11359288,안전,"2017년 2월 소방활동 현황(화재)",이지현-23,"서울소방재난본부 현장대응단 화재조사팀",20170306172356,"안전>재난안전>재난안전사고 분석 및 전망>서울시 월중 재난안전사고 분석 및 전망",02-3706-1723,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/11359288
11359292,공통업무,"2016년 도시기반시설본부 도시철도사업부 상품권 구매 및 사용내역",전영숙,도시철도사업부,20170306191623,"공통업무>예산집행 관리>상품권 구매 및 사용내역>상품권 종류, 목적, 수량, 구매액, 지급대상자 등",772-7166,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/11359292
11373119,공통업무,"서부공원녹지사업소 공원여가과 상품권 구매 및 사용내역(2016년)",이수정,"서부공원녹지사업소 공원여가과",20170307134035,"공통업무>예산집행 관리>상품권 구매 및 사용내역>상품권 종류, 목적, 수량, 구매액, 지급대상자 등",02-300-5571,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/11373119
