nid,category,title,writer,dept_nm,regist_dt,taxonomy,telno,cpyrht,url
18159542,안전,"2019 도로시설물 유지관리예산 집행현황(도로시설과 2019.6.30 기준)",권미애,도로시설과,20190703110240,"안전>도로시설물 안전관리>교량,터널 등 시설안전관리유지 관련 예산 집행현황>예산집행 현황",02-2133-1656,"CC BY",https://opengov.seoul.go.kr/public/18159542
18178992,공통업무,"2018상품권 구매내역 및 사용내역(시의회사무처 예산정책담당관)",허광수,예산정책담당관,20190705141747,"공통업무>예산집행 관리>상품권 구매 및 사용내역>상품권 종류, 목적, 수량, 구매액, 지급대상자 등",02-2180-7935,"CC BY-ND",https://opengov.seoul.go.kr/public/18178992
18179571,주택도시계획,"정비사업전문관리업자 등록현황(2019.7.1. 현재)",최경민,주거정비과,20190705150627,"주택ㆍ도시계획>주거환경정비>도시주거환경정비 추진현황>정비사업 전문관리업체 등록현황",02-2133-7197,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/18179571
18198670,주택도시계획,"2019년 7월 정비사업 통계",최경민,주거정비과,20190709000000,"주택ㆍ도시계획>주거환경정비>도시정비사업 통계>정비사업 통계",02-2133-7197,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/18198670
18198674,공통업무,"2019년 6월 시립대학교 총장, 처장의 업무추진비",김미경,서울시립대학교총무과,20190709100217,"공통업무>업무추진비 사용내역>업무추진비 사용내역>시립대학교 총장, 처장의 업무추진비",02-6490-6411,"CC BY-ND",https://opengov.seoul.go.kr/public/18198674
18228609,행정,"2019년 제2차 민간위탁 종합성과평가 결과",권혜민,조직담당관,20190712152048,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁 종합성과평가 결과",2133-6753,"CC BY-ND",https://opengov.seoul.go.kr/public/18228609
18258854,공통업무,"2019년 3월 시설관리과 상품권구매 및 사용내역",이해순,시설관리과,20190717173458,"공통업무>예산집행 관리>상품권 구매 및 사용내역>상품권 종류, 목적, 수량, 구매액, 지급대상자 등",3146-4594,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/18258854
18267591,행정,"2019 인재개발계획",권영숙,"인재개발원 인재기획과",20190718105411,"행정ㆍ기타>일반행정 지원>교육훈련계획>교육훈련 계획",02-3488-2041,"CC BY-NC",https://opengov.seoul.go.kr/public/18267591
18272243,안전,"2019년 을지태극연습",조훈,민방위담당관,20190718000000,"안전>비상대비>을지연습 계획>을지연습 계획",2133-4515,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/18272243
18280971,여성가족,"가정양육수당 지원 현황",김승원,보육담당관,20190719090828,"여성ㆍ가족>영유아복지>가정양육수당 지원 현황>가정양육수당 지원 현황",2133-5107,"CC BY",https://opengov.seoul.go.kr/public/18280971
