nid,category,title,writer,dept_nm,regist_dt,taxonomy,telno,cpyrht,url
18576407,행정,"2019년 8월 유형별 서식민원처리실적(시본청)",배병만,시민봉사담당관,20190902163456,"행정ㆍ기타>민원행정서비스>민원처리실적>유형별 민원처리실적",2133-7908,"CC BY-NC-SA",https://opengov.seoul.go.kr/public/18576407
18588835,환경,"2019 서울특별시 안전관리계획(산사태 및 급경사지 대책)",곽문수,산지방재과,20190903000000,"환경>재해관리>사면안전관리 종합계획>사면안전관리 종합계획",2133-2173,"CC BY",https://opengov.seoul.go.kr/public/18588835
18589287,공통업무,"2019년 9월 직원 생일상품권 구매",최희정,"뚝도아리수정수센터 행정관리과",20190903153021,"공통업무>예산집행 관리>상품권 구매 및 사용내역>상품권 종류, 목적, 수량, 구매액, 지급대상자 등",02-3146-5561,"CC BY-NC",https://opengov.seoul.go.kr/public/18589287
18631914,건강,"음식점 원산지표시 점검결과('19. 6월)",김진국,식품정책과,20190909113126,"건강ㆍ식품>식생활 안전>원산지 지도점검 결과>음식점 원산지 지도점검 결과",2133-4717,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/18631914
18644358,공통업무,"2019년 8월 서울시립대학교 총장, 처장의 업무추진비 공개",김미경,서울시립대학교총무과,20190910160556,"공통업무>업무추진비 사용내역>업무추진비 사용내역>시립대학교 총장, 처장의 업무추진비",02-6490-6411,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/18644358
18714085,환경,"2019년도 서울지역 도시가스 공급비용 산정용역 결과",김경식,녹색에너지과,20190923130946,"환경>집단에너지>집단에너지 사업 추진현황>도시가스 장단기 공급계획",02-2133-3560,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/18714085
18714086,환경,"2019년 서울지역 도시가스 고객센터 지급수수료 산정 결과",김경식,녹색에너지과,20190923000000,"환경>집단에너지>집단에너지 사업 추진현황>도시가스 장단기 공급계획",02-2133-3712,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/18714086
18735101,공통업무,"2019년 8월분 업무추진비 집행내역(서울물연구원)",홍석재,총무과,20190925110056,"공통업무>업무추진비 사용내역>업무추진비 사용내역>투자출연기관장 및 임원의 업무추진비",02-3146-1719,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/18735101
