nid,category,title,writer,dept_nm,regist_dt,taxonomy,telno,cpyrht,url
16691776,공통업무,"2018년 11월 직원 생일상품권 지급",최희정,"뚝도아리수정수센터 행정관리과",20181205142518,"공통업무>예산집행 관리>상품권 구매 및 사용내역>상품권 종류, 목적, 수량, 구매액, 지급대상자 등",02-3146-5561,"CC BY-NC",https://opengov.seoul.go.kr/public/16691776
16691777,공통업무,"2018년 12월 직원 생일상품권 지급",최희정,"뚝도아리수정수센터 행정관리과",20181205142740,"공통업무>예산집행 관리>상품권 구매 및 사용내역>상품권 종류, 목적, 수량, 구매액, 지급대상자 등",02-3146-5561,"CC BY-NC",https://opengov.seoul.go.kr/public/16691777
16713862,행정,"2018년 11월 유형별 서식민원처리실적(시본청)",배병만,시민봉사담당관,20181207104702,"행정ㆍ기타>민원행정서비스>민원처리실적>유형별 민원처리실적",2133-7908,"CC BY-NC-SA",https://opengov.seoul.go.kr/public/16713862
16725033,행정,"정보공개청구에 따른 비공개목록('18.7월~9월)  ",이하나,정보공개정책과,20181210132434,"행정ㆍ기타>일반행정>정보공개 청구 현황>정보공개 청구에 따른 비공개한 목록",2133-5697,"CC BY",https://opengov.seoul.go.kr/public/16725033
16725041,공통업무,"2018년 상품권 구매 및 사용내역 공개",백경복,수질연구과,20181210140840,"공통업무>예산집행 관리>상품권 구매 및 사용내역>상품권 종류, 목적, 수량, 구매액, 지급대상자 등",02-3146-1733,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/16725041
16725045,공통업무,"상품권 구매내역 ",김윤정,식품정책과,20181210144825,"공통업무>예산집행 관리>상품권 구매 및 사용내역>상품권 종류, 목적, 수량, 구매액, 지급대상자 등",2133-4706,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/16725045
16736483,공통업무,"상품권 구매 및 사용내역 공개(2018년 하반기 추가구매)",성윤희,총무과,20181211092502,"공통업무>예산집행 관리>상품권 구매 및 사용내역>상품권 종류, 목적, 수량, 구매액, 지급대상자 등",3462-4355,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/16736483
16767612,교통,"제3차 서울시 교통안전기본계획",김욱경,교통운영과,20181214095557,교통ㆍ건설>교통안전>지역교통안전기본계획>지역교통안전기본계획,2133-2449,"CC BY-ND",https://opengov.seoul.go.kr/public/16767612
16767613,교통,"서울시 지능형교통체계(ITS) 기본계획",정재은,교통정책과,20181214102411,"교통ㆍ건설>지능형 교통시스템(ITS)>지능형교통체계(ITS) 중장기 기본계획 및 단계별 추진방안>지능형교통체계(ITS) 중장기 기본계획 및 단계별 추진방안",2133-4164,"CC BY",https://opengov.seoul.go.kr/public/16767613
16767614,환경,"2018년 추석 연휴 청소대책",김동호,생활환경과,20181214103021,"환경>생활환경 관리>청소종합대책>계절별, 명절 등 청소종합대책",2133-3733,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/16767614
16767615,환경,"2018년 겨울철 청소대책",김동호,생활환경과,20181214105236,"환경>생활환경 관리>청소종합대책>계절별, 명절 등 청소종합대책",2133-3733,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/16767615
16767617,교통,"제3차 서울특별시 대중교통계획",신성훈,교통정책과,20181214134055,"교통ㆍ건설>대중교통>대중교통 기본계획>대중교통계획",2133-2226,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/16767617
16767618,교통,"제3차 서울특별시 대중교통계획",신성훈,교통정책과,20181214134221,"교통ㆍ건설>대중교통>대중교통 기본계획>대중교통계획",2133-2226,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/16767618
16768662,행정,"2기(2018년~2022년) 마을공동체 기본계획",김지현,지역공동체담당관,20181214161759,"행정ㆍ기타>마을공동체 지원>사업별 마을공동체 활동 지원현황>서울시 마을공동체 기본계획",2133-6366,"CC BY-NC",https://opengov.seoul.go.kr/public/16768662
16768663,행정,"2018 공공갈등관리 종합계획 ",김재희,갈등조정담당관,20181214163046,"행정ㆍ기타>갈등예방 및 맞춤형갈등조정>갈등예방 및 맞춤형 갈등조정>서울시 갈등관리 종합계획",2133-6356,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/16768663
16845579,건강,"2018년 시립병원 성과평가 결과 보고 ","권용선 ",보건의료정책과,20181224201702,"건강ㆍ식품>공공의료>시립·위탁병원 평가결과>시립·위탁병원 평가결과",2133-7515,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/16845579
