nid,category,title,writer,dept_nm,regist_dt,taxonomy,telno,cpyrht,url
17746521,공통업무,"관광정책과 상품권 구매 및 사용내역 공개_2019.4월",김소연,관광정책과,20190507210016,"공통업무>예산집행 관리>상품권 구매 및 사용내역>상품권 종류, 목적, 수량, 구매액, 지급대상자 등",02-2133-2809,"CC BY-ND",https://opengov.seoul.go.kr/public/17746521
17770198,주택도시계획,"시장정비사업 추진계획 승인 현황",신현순,도시활성화과,20190509162110,"주택ㆍ도시계획>도시정비>도시환경정비 사업 추진현황>시장정비사업 추진계획 승인현황",2133-4644,"CC BY",https://opengov.seoul.go.kr/public/17770198
17779821,공통업무,"2019년 4월 서울시립대학교 총장,처장 업무추진비",김미경,서울시립대학교총무과,20190510135540,"공통업무>업무추진비 사용내역>업무추진비 사용내역>시립대학교 총장, 처장의 업무추진비",02-6490-6411,"CC BY-ND",https://opengov.seoul.go.kr/public/17779821
17790750,경제,"2019년 서울시 일자리 창출 추진현황(3월까지 누적)",엄태근,일자리정책과,20190513100439,"경제>일자리>일자리 창출 추진실적>일자리 창출 추진현황 및 실적",2133-5455,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/17790750
17790754,공통업무,"2019년 5월 직원 생일상품권 지급",최희정,"뚝도아리수정수센터 행정관리과",20190513151154,"공통업무>예산집행 관리>상품권 구매 및 사용내역>상품권 종류, 목적, 수량, 구매액, 지급대상자 등",02-3146-5561,"CC BY-NC",https://opengov.seoul.go.kr/public/17790754
17801313,공통업무,"중소기업자와의 우선조달계약에 대한 예외 공표",이춘우,가족담당관,20190514104704,"공통업무>계약현황>공사, 물품구매, 용역 등 주요 계약현황>중소기업자와의 우선조달계약에 대한 예외 공표",2133-5180,"CC BY",https://opengov.seoul.go.kr/public/17801313
17812009,공통업무,"중소기업자와의 우선조달계약에 대한 예외 공표",이춘우,가족담당관,20190515154149,"공통업무>계약현황>공사, 물품구매, 용역 등 주요 계약현황>중소기업자와의 우선조달계약에 대한 예외 공표",2133-5180,"CC BY",https://opengov.seoul.go.kr/public/17812009
17867958,공통업무,"보건환경연구원 연구지원부 생일상품권 구매(4~5월)",한리라,연구지원부,20190523140458,"공통업무>업무계획>주요 업무계획>서울시 주요 업무계획",570-3315,"CC BY-NC-SA",https://opengov.seoul.go.kr/public/17867958
17877665,공통업무,"중소기업자와의 우선조달계약에 대한 예외 공표",이정자,가족담당관,20190524182822,"공통업무>계약현황>공사, 물품구매, 용역 등 주요 계약현황>중소기업자와의 우선조달계약에 대한 예외 공표",02-2133-5183,"CC BY",https://opengov.seoul.go.kr/public/17877665
17907391,행정,"정보공개청구에 따른 공개목록('19.1월~3월) ",고미랑,정보공개정책과,20190529144232,"행정ㆍ기타>일반행정>정보공개 청구 현황>정보공개 청구에 따른 공개한 목록",02-2133-5681,"CC BY",https://opengov.seoul.go.kr/public/17907391
17907392,행정,"정보공개청구에 따른 비공개목록('19.1월~3월) ",고미랑,정보공개정책과,20190529144355,"행정ㆍ기타>일반행정>정보공개 청구 현황>정보공개 청구에 따른 비공개한 목록",02-2133-5681,"CC BY",https://opengov.seoul.go.kr/public/17907392
17907396,공통업무,"중소기업자와의 우선조달계약에 대한 예외 공표",윤성일,장애인복지정책과,20190529200908,"공통업무>계약현황>공사, 물품구매, 용역 등 주요 계약현황>중소기업자와의 우선조달계약에 대한 예외 공표",2133-7447,"CC BY-ND",https://opengov.seoul.go.kr/public/17907396
